fac_id,eqp_id,eqp_model_cd,eqp_grp_id,vendor_nm,eqp_ip,fab_name,updt_dt,available,version
R4,HCDX193,CG6360,G-ACD-01,HITACHI,177.55.123.20,R4C,2025-06-27 08:06:01.285956,On,3
R4,HCDX451,CG6300,G-ECD-02,HITACHI,177.123.19.59,R4D,2025-05-25 08:06:01.285956,On,1
M11,MCD491,PROVISION_10,G-MCD-03,AMAT,177.18.136.145,M11C,2025-07-12 08:06:01.285956,On,1
M17,ECDX730,CG6320,G-ACD-02,HITACHI,177.23.230.26,M17C,2025-06-26 08:06:01.285956,On,3
R5,ACD910,VERITYSEM_4,G-MCD-01,AMAT,197.166.22.64,R5D,2025-05-04 08:06:01.285956,On,3
R3,ECXDX630,CG6340,G-PCD-03,HITACHI,177.192.101.76,R3C,2025-04-22 08:06:01.285956,On,1
M17,ECDX753,CG6320,G-PCD-01,HITACHI,177.253.93.240,M17D,2025-06-03 08:06:01.285956,On,3
M16,ECXDX117,CG6360,G-PCD-01,HITACHI,177.68.56.11,M16C,2025-07-06 08:06:01.285956,Off,2
M18,VCD184,VERITYSEM_4,G-ACD-03,AMAT,177.72.22.80,M18C,2025-07-03 08:06:01.285956,On,1
M12,ACD815,TP3500,G-MDS-03,AMAT,177.15.63.23,M12C,2025-05-19 08:06:01.285956,On,3
R3,PCD112,TP4000,G-ACD-01,AMAT,177.42.128.244,R3A,2025-05-30 08:06:01.285956,On,3
M14,ACD850,TP4000,G-ECD-01,AMAT,197.207.110.70,M14B,2025-05-07 08:06:01.285956,On,3
R3,ACD156,VERITYSEM_5,G-MDS-03,AMAT,177.95.41.66,R3A,2025-06-30 08:06:01.285956,On,3
R5,ECXDX145,CG6380,G-ECD-01,HITACHI,177.121.94.99,R5A,2025-06-24 08:06:01.285956,On,1
M18,ECXDX526,CG6340,G-ACD-02,HITACHI,197.212.20.147,M18D,2025-05-27 08:06:01.285956,On,3
M10,ECXDX510,CG6380,G-ECD-02,HITACHI,197.199.217.80,M10B,2025-06-02 08:06:01.285956,On,2
M10,HCDX903,CG6340,G-KCD-03,HITACHI,177.119.95.152,M10C,2025-05-11 08:06:01.285956,Off,1
R5,ECDX124,CG6300,G-MCD-03,HITACHI,197.163.215.178,R5B,2025-07-12 08:06:01.285956,Off,1
R4,MCD642,TP3500,G-MCD-02,AMAT,197.247.16.249,R4D,2025-06-25 08:06:01.285956,On,1
M10,VCD865,PROVISION_20,G-ECD-03,AMAT,177.130.35.164,M10B,2025-05-24 08:06:01.285956,On,3
M10,ECDX367,CG6320,G-KCD-02,HITACHI,197.82.116.70,M10D,2025-06-14 08:06:01.285956,On,1
M12,ECXDX560,CG6300,G-MDS-02,HITACHI,197.31.138.92,M12A,2025-06-17 08:06:01.285956,On,2
M14,HCDX411,CG6320,G-ACD-03,HITACHI,177.56.214.220,M14A,2025-06-02 08:06:01.285956,On,3
M13,ACD366,TP3000,G-MCD-01,AMAT,197.219.116.143,M13C,2025-05-04 08:06:01.285956,On,2
M11,ECXDX950,CG6300,G-MCD-01,HITACHI,177.211.103.96,M11B,2025-04-17 08:06:01.285956,On,3
M11,ECXDX302,CG6300,G-ACD-02,HITACHI,177.24.232.217,M11C,2025-06-01 08:06:01.285956,On,2
M10,VCD130,VERITYSEM_4,G-MDS-03,AMAT,197.45.91.55,M10B,2025-06-20 08:06:01.285956,On,2
M12,ECDX521,CG6340,G-PCD-02,HITACHI,177.23.72.99,M12A,2025-06-26 08:06:01.285956,On,3
M18,HCDX467,CG6360,G-MDS-03,HITACHI,197.89.234.145,M18B,2025-05-10 08:06:01.285956,On,2
M12,PCD930,TP4500,G-KCD-01,AMAT,197.136.92.197,M12A,2025-04-30 08:06:01.285956,Off,1
M11,HCDX935,CG6340,G-ACD-01,HITACHI,177.148.217.252,M11B,2025-05-25 08:06:01.285956,On,1
M12,PCD820,PROVISION_20,G-ACD-02,AMAT,177.145.243.49,M12B,2025-05-11 08:06:01.285956,On,1
M17,ECXDX716,CG6300,G-MCD-01,HITACHI,197.1.85.235,M17A,2025-04-26 08:06:01.285956,On,1
M15,PCD251,TP3000,G-PCD-03,AMAT,177.199.29.217,M15B,2025-05-07 08:06:01.285956,On,1
M15,ECDX430,CG6340,G-MCD-01,HITACHI,197.203.164.246,M15D,2025-05-12 08:06:01.285956,On,1
R5,ECXDX487,CG6380,G-KCD-03,HITACHI,197.33.46.187,R5C,2025-07-13 08:06:01.285956,Off,3
M16,ECDX928,CG6380,G-PCD-01,HITACHI,177.240.128.37,M16A,2025-06-01 08:06:01.285956,On,1
M15,HCDX786,CG6300,G-ACD-03,HITACHI,197.115.3.68,M15C,2025-06-17 08:06:01.285956,On,1
M15,ECXDX495,CG6300,G-MDS-03,HITACHI,197.249.43.227,M15C,2025-05-22 08:06:01.285956,On,2
M15,HCDX766,CG6360,G-ACD-01,HITACHI,177.116.19.205,M15D,2025-07-09 08:06:01.285956,On,2
M14,ECXDX484,CG6340,G-MCD-03,HITACHI,177.141.242.230,M14A,2025-07-02 08:06:01.285956,On,3
M17,VCD260,TP4000,G-ECD-01,AMAT,197.53.250.49,M17A,2025-05-22 08:06:01.285956,On,3
R5,MCD198,PROVISION_10,G-ECD-02,AMAT,197.40.14.93,R5C,2025-07-13 08:06:01.285956,On,2
R4,ECXDX311,CG6300,G-MCD-03,HITACHI,197.251.21.122,R4D,2025-06-29 08:06:01.285956,On,2
M17,VCD289,TP3500,G-KCD-02,AMAT,197.48.115.12,M17D,2025-06-10 08:06:01.285956,On,2
M13,HCDX783,CG6320,G-ECD-01,HITACHI,197.207.139.106,M13C,2025-04-29 08:06:01.285956,On,1
M16,VCD406,TP4500,G-ECD-02,AMAT,177.129.147.231,M16D,2025-05-08 08:06:01.285956,On,3
R3,ECXDX271,CG6360,G-MCD-01,HITACHI,177.11.109.21,R3B,2025-04-17 08:06:01.285956,On,3
M12,PCD497,TP3500,G-PCD-02,AMAT,197.220.71.134,M12C,2025-05-16 08:06:01.285956,Off,1
R5,ECXDX251,CG6360,G-PCD-03,HITACHI,177.237.28.145,R5D,2025-07-01 08:06:01.285956,On,3
M15,VCD685,VERITYSEM_4,G-PCD-02,AMAT,177.45.71.104,M15D,2025-06-25 08:06:01.285956,On,3
R5,ECDX807,CG6360,G-MCD-01,HITACHI,197.236.69.230,R5D,2025-05-27 08:06:01.285956,On,2
M14,MCD237,TP3500,G-KCD-03,AMAT,197.199.212.83,M14C,2025-06-09 08:06:01.285956,On,3
R4,ECXDX943,CG6360,G-MDS-03,HITACHI,197.195.133.223,R4A,2025-05-27 08:06:01.285956,On,3
M12,MCD899,VERITYSEM_4,G-PCD-03,AMAT,177.45.50.225,M12A,2025-06-18 08:06:01.285956,On,1
M10,HCDX303,CG6340,G-KCD-02,HITACHI,197.130.102.163,M10D,2025-06-28 08:06:01.285956,On,1
M15,VCD700,TP4000,G-PCD-02,AMAT,197.42.215.229,M15D,2025-06-10 08:06:01.285956,On,3
M11,ECXDX266,CG6360,G-PCD-01,HITACHI,177.166.58.174,M11C,2025-06-17 08:06:01.285956,On,2
M18,ECXDX762,CG6360,G-MCD-03,HITACHI,177.58.65.156,M18A,2025-06-04 08:06:01.285956,On,3
R4,ACD570,VERITYSEM_4,G-KCD-01,AMAT,197.78.174.134,R4C,2025-04-25 08:06:01.285956,On,1
M10,PCD593,PROVISION_10,G-ECD-02,AMAT,197.164.84.221,M10C,2025-06-08 08:06:01.285956,On,3
R4,HCDX883,CG6320,G-MCD-01,HITACHI,197.170.82.175,R4C,2025-06-26 08:06:01.285956,On,3
M17,VCD497,VERITYSEM_4,G-ACD-01,AMAT,177.88.186.183,M17C,2025-06-15 08:06:01.285956,On,3
M17,MCD400,TP4000,G-ECD-02,AMAT,177.190.67.186,M17C,2025-05-03 08:06:01.285956,On,1
R4,ECDX328,CG6320,G-ACD-02,HITACHI,197.202.228.85,R4C,2025-05-27 08:06:01.285956,On,2
M17,PCD583,TP3000,G-MCD-03,AMAT,177.223.175.98,M17A,2025-05-07 08:06:01.285956,On,1
M12,ECDX683,CG6340,G-MDS-01,HITACHI,197.221.184.47,M12B,2025-07-03 08:06:01.285956,On,3
M12,ECDX380,CG6300,G-MCD-01,HITACHI,177.126.202.196,M12C,2025-07-02 08:06:01.285956,On,2
R4,VCD492,VERITYSEM_4,G-ECD-01,AMAT,177.188.96.244,R4D,2025-07-12 08:06:01.285956,On,3
M13,ECXDX810,CG6320,G-KCD-02,HITACHI,177.27.99.129,M13A,2025-04-29 08:06:01.285956,On,1
