MSR,sequence,chip_number,chip_coordinate,stage_coordinate,dnum_group,mp_number,parameter,cd_value,no_of_mp_image,mp_image_name_01
20250703_CD_GATE_28nm_TK835911,35,"-3, -4","13124477,264066","179966397, 147484373","27, -1",27,CD_MIDDLE,29.24,5,20250703_CD_GATE_28nm_TK835911_035_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,36,"-1, 10","12887769,221432","174339593, 141516524","12, -1",12,CD_MIDDLE,16.49,5,20250703_CD_GATE_28nm_TK835911_036_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,37,"-4, 3","11856827,284853","173776753, 143468370","13, -1",13,CD_MIDDLE,30.4,1,20250703_CD_GATE_28nm_TK835911_037_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,38,"2, 10","11109931,284852","172905824, 140141997","19, -1",19,CD_MIDDLE,39.15,3,20250703_CD_GATE_28nm_TK835911_038_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,39,"9, 1","12310042,255549","176316209, 145850369","6, -1",6,CD_MIDDLE,29.0,5,20250703_CD_GATE_28nm_TK835911_039_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,40,"6, 4","13331556,276609","171716512, 140123271","21, -1",21,CD_MIDDLE,43.99,3,20250703_CD_GATE_28nm_TK835911_040_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,41,"5, -8","14980925,279829","174742531, 145007595","15, -1",15,CD_MIDDLE,16.92,3,20250703_CD_GATE_28nm_TK835911_041_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,42,"7, -6","12727447,236291","174381318, 145012883","16, -1",16,CD_MIDDLE,37.96,1,20250703_CD_GATE_28nm_TK835911_042_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,43,"6, -8","13389823,286577","175361758, 142347627","20, -1",20,CD_MIDDLE,29.92,3,20250703_CD_GATE_28nm_TK835911_043_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,44,"-3, 5","13511183,253031","176514172, 140592554","18, -1",18,CD_MIDDLE,39.48,3,20250703_CD_GATE_28nm_TK835911_044_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,45,"10, -4","11865317,289957","178969688, 147981512","21, -1",21,CD_MIDDLE,25.75,3,20250703_CD_GATE_28nm_TK835911_045_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,46,"-5, 2","14682924,223741","174928878, 141637507","23, -1",23,CD_MIDDLE,22.76,5,20250703_CD_GATE_28nm_TK835911_046_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,47,"-5, 8","12815489,285778","171498202, 143728795","23, -1",23,CD_MIDDLE,41.14,4,20250703_CD_GATE_28nm_TK835911_047_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,48,"-1, 0","13117898,234152","179824246, 144933359","3, -1",3,CD_MIDDLE,29.12,5,20250703_CD_GATE_28nm_TK835911_048_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,49,"5, 2","10597400,261894","173263903, 148396617","21, -1",21,CD_MIDDLE,26.45,3,20250703_CD_GATE_28nm_TK835911_049_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,50,"1, 0","10453504,219762","172304606, 143360419","18, -1",18,CD_MIDDLE,41.79,4,20250703_CD_GATE_28nm_TK835911_050_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,51,"-6, 8","12654016,293804","173025884, 141355791","20, -1",20,CD_MIDDLE,44.6,3,20250703_CD_GATE_28nm_TK835911_051_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,52,"6, 9","10486653,200617","177584194, 144589036","24, -1",24,CD_MIDDLE,20.06,2,20250703_CD_GATE_28nm_TK835911_052_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,53,"3, -3","10738544,216961","177276470, 147204299","30, -1",30,CD_MIDDLE,29.32,1,20250703_CD_GATE_28nm_TK835911_053_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,54,"-9, 2","14477693,226137","176259602, 140236174","24, -1",24,CD_MIDDLE,40.0,2,20250703_CD_GATE_28nm_TK835911_054_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,55,"-10, 4","10034593,282141","174174559, 143796108","11, -1",11,CD_MIDDLE,24.36,1,20250703_CD_GATE_28nm_TK835911_055_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,56,"0, 6","14222292,277158","175135759, 142802133","1, -1",1,CD_MIDDLE,23.95,3,20250703_CD_GATE_28nm_TK835911_056_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,57,"2, 1","14364495,278167","178793234, 145667933","21, -1",21,CD_MIDDLE,44.86,3,20250703_CD_GATE_28nm_TK835911_057_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,58,"3, -3","13013614,298319","173161264, 142766286","29, -1",29,CD_MIDDLE,39.36,1,20250703_CD_GATE_28nm_TK835911_058_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,59,"-4, 10","11881743,295311","172201267, 143543184","18, -1",18,CD_MIDDLE,30.14,1,20250703_CD_GATE_28nm_TK835911_059_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,60,"0, -3","10313427,249177","174291430, 148971338","19, -1",19,CD_MIDDLE,44.84,1,20250703_CD_GATE_28nm_TK835911_060_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,61,"7, 1","10165605,206322","171942630, 146992333","3, -1",3,CD_MIDDLE,31.42,4,20250703_CD_GATE_28nm_TK835911_061_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,62,"9, -4","11284523,226934","170156104, 145051895","3, -1",3,CD_MIDDLE,34.87,3,20250703_CD_GATE_28nm_TK835911_062_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,63,"6, 3","11150611,254896","171760168, 148582968","3, -1",3,CD_MIDDLE,23.48,1,20250703_CD_GATE_28nm_TK835911_063_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,64,"3, 1","11666368,279823","173351238, 144412305","6, -1",6,CD_MIDDLE,25.74,4,20250703_CD_GATE_28nm_TK835911_064_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,65,"-2, 3","11345311,205164","179196242, 148327450","22, -1",22,CD_MIDDLE,42.99,3,20250703_CD_GATE_28nm_TK835911_065_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,66,"-3, -7","10022968,201671","171493219, 141852723","21, -1",21,CD_MIDDLE,29.82,1,20250703_CD_GATE_28nm_TK835911_066_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,67,"3, 8","10629550,294838","171699372, 144293157","14, -1",14,CD_MIDDLE,44.66,3,20250703_CD_GATE_28nm_TK835911_067_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,68,"-3, 8","13894640,206564","171674515, 142931009","27, -1",27,CD_MIDDLE,23.72,3,20250703_CD_GATE_28nm_TK835911_068_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,69,"1, 7","10972248,212451","170769891, 140162274","21, -1",21,CD_MIDDLE,34.42,3,20250703_CD_GATE_28nm_TK835911_069_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,70,"0, -7","13671815,281501","174501484, 141559464","10, -1",10,CD_MIDDLE,20.49,4,20250703_CD_GATE_28nm_TK835911_070_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,71,"1, -7","13829724,235629","176471232, 148023619","20, -1",20,CD_MIDDLE,41.58,2,20250703_CD_GATE_28nm_TK835911_071_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,72,"-6, -8","11111587,291248","170983923, 142674211","29, -1",29,CD_MIDDLE,32.72,5,20250703_CD_GATE_28nm_TK835911_072_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,73,"8, -2","13675576,223758","176371160, 146016291","27, -1",27,CD_MIDDLE,35.53,2,20250703_CD_GATE_28nm_TK835911_073_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,74,"3, -6","14094670,214802","176900204, 147393515","-1, -1",-1,CD_MIDDLE,22.85,3,20250703_CD_GATE_28nm_TK835911_074_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,75,"-10, 1","14402491,297468","179674564, 149479332","30, -1",30,CD_MIDDLE,35.1,3,20250703_CD_GATE_28nm_TK835911_075_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,76,"4, -9","14388107,290209","171597897, 147261982","7, -1",7,CD_MIDDLE,29.46,4,20250703_CD_GATE_28nm_TK835911_076_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,77,"-5, -9","14683730,280335","170915467, 140195368","5, -1",5,CD_MIDDLE,30.17,4,20250703_CD_GATE_28nm_TK835911_077_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,78,"3, 0","11387508,209812","178248484, 145379342","8, -1",8,CD_MIDDLE,16.51,2,20250703_CD_GATE_28nm_TK835911_078_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,79,"4, 7","13176242,252858","173942645, 141322557","25, -1",25,CD_MIDDLE,32.19,1,20250703_CD_GATE_28nm_TK835911_079_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,80,"3, 2","13750279,241426","171991570, 148344540","0, -1",0,CD_MIDDLE,18.08,4,20250703_CD_GATE_28nm_TK835911_080_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,81,"-9, 1","14673553,271971","170002847, 141524974","30, -1",30,CD_MIDDLE,33.57,3,20250703_CD_GATE_28nm_TK835911_081_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,82,"3, 7","14717187,227112","177653898, 145718584","1, -1",1,CD_MIDDLE,39.5,4,20250703_CD_GATE_28nm_TK835911_082_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,83,"-1, 0","14698885,281232","177937865, 146095071","3, -1",3,CD_MIDDLE,17.92,2,20250703_CD_GATE_28nm_TK835911_083_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,84,"-10, -4","12863511,246548","174898671, 149188723","22, -1",22,CD_MIDDLE,18.19,2,20250703_CD_GATE_28nm_TK835911_084_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,85,"3, -1","11178173,293959","176865417, 141794516","6, -1",6,CD_MIDDLE,20.63,4,20250703_CD_GATE_28nm_TK835911_085_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,86,"-4, 4","13833979,224979","175669584, 141808009","1, -1",1,CD_MIDDLE,42.8,5,20250703_CD_GATE_28nm_TK835911_086_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,87,"-6, -2","13779106,259950","179887084, 148459031","15, -1",15,CD_MIDDLE,15.13,1,20250703_CD_GATE_28nm_TK835911_087_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,88,"4, 9","13630676,276692","178102253, 148528410","29, -1",29,CD_MIDDLE,20.32,5,20250703_CD_GATE_28nm_TK835911_088_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,89,"-5, 3","11076944,213573","176499587, 145399642","12, -1",12,CD_MIDDLE,27.56,5,20250703_CD_GATE_28nm_TK835911_089_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,90,"8, 5","12082377,235860","176675150, 145752216","14, -1",14,CD_MIDDLE,39.14,2,20250703_CD_GATE_28nm_TK835911_090_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,91,"1, 0","14297438,239179","179190659, 145266549","29, -1",29,CD_MIDDLE,31.61,2,20250703_CD_GATE_28nm_TK835911_091_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,92,"-4, -4","11759197,281810","174875114, 145793064","4, -1",4,CD_MIDDLE,44.44,2,20250703_CD_GATE_28nm_TK835911_092_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,93,"3, 4","14550748,291004","175408662, 141936178","17, -1",17,CD_MIDDLE,29.41,5,20250703_CD_GATE_28nm_TK835911_093_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,94,"7, 8","13502058,288374","178957402, 144797075","13, -1",13,CD_MIDDLE,39.25,5,20250703_CD_GATE_28nm_TK835911_094_CD_MIDDLE_20250719_083511.tif
20250703_CD_GATE_28nm_TK835911,95,"-7, 7","10211998,249921","172438177, 140890282","6, -1",6,CD_MIDDLE,23.01,2,20250703_CD_GATE_28nm_TK835911_095_CD_MIDDLE_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,1,"8, 4","12475818,226738","179079361, 140542011","14, -1",14,TOP_WIDTH,18.07,5,20250711_PROF_CONTACT_DEPTH_WF944151_001_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,1,"8, 4","12475818,226738","179079361, 140542011","14, -1",14,HEIGHT,179.73,5,20250711_PROF_CONTACT_DEPTH_WF944151_001_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,1,"8, 4","12475818,226738","179079361, 140542011","14, -1",14,BOTTOM_WIDTH,26.67,5,20250711_PROF_CONTACT_DEPTH_WF944151_001_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,2,"8, 7","12412887,290824","170788191, 146401894","30, -1",30,TOP_WIDTH,38.64,3,20250711_PROF_CONTACT_DEPTH_WF944151_002_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,2,"8, 7","12412887,290824","170788191, 146401894","30, -1",30,HEIGHT,194.87,1,20250711_PROF_CONTACT_DEPTH_WF944151_002_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,2,"8, 7","12412887,290824","170788191, 146401894","30, -1",30,BOTTOM_WIDTH,15.39,3,20250711_PROF_CONTACT_DEPTH_WF944151_002_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,3,"-4, -3","13716688,229563","176169672, 149871467","19, -1",19,TOP_WIDTH,20.89,2,20250711_PROF_CONTACT_DEPTH_WF944151_003_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,3,"-4, -3","13716688,229563","176169672, 149871467","19, -1",19,HEIGHT,94.13,2,20250711_PROF_CONTACT_DEPTH_WF944151_003_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,3,"-4, -3","13716688,229563","176169672, 149871467","19, -1",19,BOTTOM_WIDTH,44.5,1,20250711_PROF_CONTACT_DEPTH_WF944151_003_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,4,"-5, 10","11457899,296348","178620919, 142002424","13, -1",13,TOP_WIDTH,23.37,3,20250711_PROF_CONTACT_DEPTH_WF944151_004_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,4,"-5, 10","11457899,296348","178620919, 142002424","13, -1",13,HEIGHT,69.51,5,20250711_PROF_CONTACT_DEPTH_WF944151_004_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,4,"-5, 10","11457899,296348","178620919, 142002424","13, -1",13,BOTTOM_WIDTH,40.38,1,20250711_PROF_CONTACT_DEPTH_WF944151_004_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,5,"-1, 0","13911870,293020","172597208, 140670091","10, -1",10,TOP_WIDTH,32.91,5,20250711_PROF_CONTACT_DEPTH_WF944151_005_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,5,"-1, 0","13911870,293020","172597208, 140670091","10, -1",10,HEIGHT,176.47,3,20250711_PROF_CONTACT_DEPTH_WF944151_005_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,5,"-1, 0","13911870,293020","172597208, 140670091","10, -1",10,BOTTOM_WIDTH,29.72,5,20250711_PROF_CONTACT_DEPTH_WF944151_005_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,6,"4, 7","13003839,209552","175332789, 148814666","5, -1",5,TOP_WIDTH,30.62,5,20250711_PROF_CONTACT_DEPTH_WF944151_006_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,6,"4, 7","13003839,209552","175332789, 148814666","5, -1",5,HEIGHT,73.91,5,20250711_PROF_CONTACT_DEPTH_WF944151_006_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,6,"4, 7","13003839,209552","175332789, 148814666","5, -1",5,BOTTOM_WIDTH,31.11,1,20250711_PROF_CONTACT_DEPTH_WF944151_006_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,7,"-1, 9","11855543,227964","175568081, 145554374","6, -1",6,TOP_WIDTH,43.51,5,20250711_PROF_CONTACT_DEPTH_WF944151_007_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,7,"-1, 9","11855543,227964","175568081, 145554374","6, -1",6,HEIGHT,129.57,5,20250711_PROF_CONTACT_DEPTH_WF944151_007_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,7,"-1, 9","11855543,227964","175568081, 145554374","6, -1",6,BOTTOM_WIDTH,39.71,1,20250711_PROF_CONTACT_DEPTH_WF944151_007_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,8,"-6, -7","12902519,258414","174032368, 144090740","21, -1",21,TOP_WIDTH,41.57,4,20250711_PROF_CONTACT_DEPTH_WF944151_008_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,8,"-6, -7","12902519,258414","174032368, 144090740","21, -1",21,HEIGHT,187.39,1,20250711_PROF_CONTACT_DEPTH_WF944151_008_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,8,"-6, -7","12902519,258414","174032368, 144090740","21, -1",21,BOTTOM_WIDTH,26.58,5,20250711_PROF_CONTACT_DEPTH_WF944151_008_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,9,"10, -5","12372541,203238","178671603, 146290752","16, -1",16,TOP_WIDTH,28.37,1,20250711_PROF_CONTACT_DEPTH_WF944151_009_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,9,"10, -5","12372541,203238","178671603, 146290752","16, -1",16,HEIGHT,94.47,2,20250711_PROF_CONTACT_DEPTH_WF944151_009_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,9,"10, -5","12372541,203238","178671603, 146290752","16, -1",16,BOTTOM_WIDTH,24.61,1,20250711_PROF_CONTACT_DEPTH_WF944151_009_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,10,"-7, 2","11404209,270513","178945709, 140122986","6, -1",6,TOP_WIDTH,35.11,2,20250711_PROF_CONTACT_DEPTH_WF944151_010_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,10,"-7, 2","11404209,270513","178945709, 140122986","6, -1",6,HEIGHT,179.74,4,20250711_PROF_CONTACT_DEPTH_WF944151_010_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,10,"-7, 2","11404209,270513","178945709, 140122986","6, -1",6,BOTTOM_WIDTH,40.07,2,20250711_PROF_CONTACT_DEPTH_WF944151_010_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,11,"4, 1","13651038,284746","171209981, 142579573","-1, -1",-1,TOP_WIDTH,36.51,1,20250711_PROF_CONTACT_DEPTH_WF944151_011_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,11,"4, 1","13651038,284746","171209981, 142579573","-1, -1",-1,HEIGHT,63.13,1,20250711_PROF_CONTACT_DEPTH_WF944151_011_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,11,"4, 1","13651038,284746","171209981, 142579573","-1, -1",-1,BOTTOM_WIDTH,20.34,3,20250711_PROF_CONTACT_DEPTH_WF944151_011_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,12,"5, -10","10590911,275361","173819259, 144339392","14, -1",14,TOP_WIDTH,33.91,4,20250711_PROF_CONTACT_DEPTH_WF944151_012_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,12,"5, -10","10590911,275361","173819259, 144339392","14, -1",14,HEIGHT,97.46,4,20250711_PROF_CONTACT_DEPTH_WF944151_012_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,12,"5, -10","10590911,275361","173819259, 144339392","14, -1",14,BOTTOM_WIDTH,35.2,5,20250711_PROF_CONTACT_DEPTH_WF944151_012_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,13,"-10, -2","10530475,299085","179824872, 140763646","2, -1",2,TOP_WIDTH,25.73,5,20250711_PROF_CONTACT_DEPTH_WF944151_013_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,13,"-10, -2","10530475,299085","179824872, 140763646","2, -1",2,HEIGHT,65.92,3,20250711_PROF_CONTACT_DEPTH_WF944151_013_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,13,"-10, -2","10530475,299085","179824872, 140763646","2, -1",2,BOTTOM_WIDTH,33.2,3,20250711_PROF_CONTACT_DEPTH_WF944151_013_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,14,"2, -8","13199528,251788","170517059, 147952193","7, -1",7,TOP_WIDTH,19.09,4,20250711_PROF_CONTACT_DEPTH_WF944151_014_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,14,"2, -8","13199528,251788","170517059, 147952193","7, -1",7,HEIGHT,169.52,5,20250711_PROF_CONTACT_DEPTH_WF944151_014_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,14,"2, -8","13199528,251788","170517059, 147952193","7, -1",7,BOTTOM_WIDTH,23.85,2,20250711_PROF_CONTACT_DEPTH_WF944151_014_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,15,"-2, 4","13130045,201461","179286594, 149312525","1, -1",1,TOP_WIDTH,15.15,5,20250711_PROF_CONTACT_DEPTH_WF944151_015_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,15,"-2, 4","13130045,201461","179286594, 149312525","1, -1",1,HEIGHT,109.11,5,20250711_PROF_CONTACT_DEPTH_WF944151_015_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,15,"-2, 4","13130045,201461","179286594, 149312525","1, -1",1,BOTTOM_WIDTH,43.41,3,20250711_PROF_CONTACT_DEPTH_WF944151_015_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,16,"-4, 1","12884436,227752","176923193, 148599207","5, -1",5,TOP_WIDTH,21.62,3,20250711_PROF_CONTACT_DEPTH_WF944151_016_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,16,"-4, 1","12884436,227752","176923193, 148599207","5, -1",5,HEIGHT,79.15,2,20250711_PROF_CONTACT_DEPTH_WF944151_016_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,16,"-4, 1","12884436,227752","176923193, 148599207","5, -1",5,BOTTOM_WIDTH,35.13,5,20250711_PROF_CONTACT_DEPTH_WF944151_016_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,17,"-8, -4","14604096,260458","179221841, 141227162","2, -1",2,TOP_WIDTH,22.52,2,20250711_PROF_CONTACT_DEPTH_WF944151_017_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,17,"-8, -4","14604096,260458","179221841, 141227162","2, -1",2,HEIGHT,158.84,4,20250711_PROF_CONTACT_DEPTH_WF944151_017_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,17,"-8, -4","14604096,260458","179221841, 141227162","2, -1",2,BOTTOM_WIDTH,43.55,3,20250711_PROF_CONTACT_DEPTH_WF944151_017_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,18,"-6, 0","11967404,213113","174783807, 141171198","10, -1",10,TOP_WIDTH,29.58,3,20250711_PROF_CONTACT_DEPTH_WF944151_018_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,18,"-6, 0","11967404,213113","174783807, 141171198","10, -1",10,HEIGHT,142.45,3,20250711_PROF_CONTACT_DEPTH_WF944151_018_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,18,"-6, 0","11967404,213113","174783807, 141171198","10, -1",10,BOTTOM_WIDTH,35.8,2,20250711_PROF_CONTACT_DEPTH_WF944151_018_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,19,"5, -6","14755182,247774","175307189, 147185805","10, -1",10,TOP_WIDTH,22.39,2,20250711_PROF_CONTACT_DEPTH_WF944151_019_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,19,"5, -6","14755182,247774","175307189, 147185805","10, -1",10,HEIGHT,156.83,4,20250711_PROF_CONTACT_DEPTH_WF944151_019_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,19,"5, -6","14755182,247774","175307189, 147185805","10, -1",10,BOTTOM_WIDTH,23.3,3,20250711_PROF_CONTACT_DEPTH_WF944151_019_BOTTOM_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,20,"-6, 3","12781351,262908","177765307, 147471866","9, -1",9,TOP_WIDTH,29.61,1,20250711_PROF_CONTACT_DEPTH_WF944151_020_TOP_WIDTH_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,20,"-6, 3","12781351,262908","177765307, 147471866","9, -1",9,HEIGHT,76.37,5,20250711_PROF_CONTACT_DEPTH_WF944151_020_HEIGHT_20250719_083511.tif
20250711_PROF_CONTACT_DEPTH_WF944151,20,"-6, 3","12781351,262908","177765307, 147471866","9, -1",9,BOTTOM_WIDTH,17.46,3,20250711_PROF_CONTACT_DEPTH_WF944151_020_BOTTOM_WIDTH_20250719_083511.tif
