fac_id,eqp_id,eqp_model_cd,eqp_grp_id,vendor_nm,ip_address,fab_name,updt_dt,available,version
M11,VCD369,PROVISION_10,G-KCD-M11-03,AMAT,197.222.31.199,M11B,2025-06-08 21:09:37.158472,On,3
R3,MCD903,PROVISION_20,G-MCD-R3-07,AMAT,177.146.90.137,R3C,2025-06-03 21:09:37.158472,On,1
M15,PCD238,VERITYSEM_4,G-MDS-M15-02,AMAT,197.222.168.33,M15C,2025-04-10 21:09:37.158472,On,1
M12,ECDX245,TP3500,G-PCD-M12-09,HITACHI,197.97.116.20,M12C,2025-04-18 21:09:37.158472,On,1
M16,VCD435,VERITYSEM_5,G-PCD-M16-01,AMAT,177.188.249.118,M16C,2025-04-18 21:09:37.158472,On,2
M11,ECXDX606,TP3500,G-KCD-M11-11,HITACHI,197.87.141.148,M11D,2025-06-22 21:09:37.158472,On,2
M15,HCDX902,CG6320,G-MDS-M15-01,HITACHI,177.238.220.41,M15A,2025-05-13 21:09:37.158472,On,2
M13,ACD195,PROVISION_20,G-ACD-M13-12,AMAT,197.22.96.171,M13B,2025-04-16 21:09:37.158472,On,2
R4,HCDX193,TP3500,G-ACD-R4-04,HITACHI,177.55.123.20,R4C,2025-06-22 21:09:37.158472,On,3
R4,HCDX451,CG6300,G-ECD-R4-14,HITACHI,177.123.19.59,R4D,2025-05-20 21:09:37.158472,On,1
M11,MCD491,VERITYSEM_4,G-MCD-M11-05,AMAT,177.136.145.3,M11C,2025-04-21 21:09:37.158472,On,2
M15,HCDX803,TP3500,G-MDS-M15-07,HITACHI,177.230.26.36,M15B,2025-06-23 21:09:37.158472,On,2
M15,MCD383,PROVISION_20,G-ACD-M15-03,AMAT,177.142.154.154,M15D,2025-04-22 21:09:37.158472,On,3
M10,HCDX621,TP4500,G-MCD-M10-13,HITACHI,197.166.14.201,M10C,2025-06-08 21:09:37.158472,On,1
M13,ECXDX469,TP4500,G-KCD-M13-05,HITACHI,197.221.215.146,M13D,2025-05-16 21:09:37.158472,On,3
M12,HCDX169,CG6300,G-ECD-M12-09,HITACHI,177.11.237.16,M12D,2025-05-19 21:09:37.158472,On,3
R5,PCD755,VERITYSEM_5,G-PCD-R5-18,AMAT,177.72.22.80,R5D,2025-06-28 21:09:37.158472,On,1
M12,ACD815,PROVISION_10,G-MDS-M12-08,AMAT,177.63.23.237,M12C,2025-05-14 21:09:37.158472,On,3
R3,PCD112,PROVISION_20,G-ACD-R3-05,AMAT,177.42.128.244,R3A,2025-05-25 21:09:37.158472,On,3
M14,ACD850,PROVISION_20,G-ECD-M14-01,AMAT,197.207.110.70,M14B,2025-05-02 21:09:37.158472,On,3
R3,ACD156,VERITYSEM_5,G-MDS-R3-19,AMAT,177.95.41.66,R3A,2025-06-25 21:09:37.158472,On,3
R5,ECXDX145,TP4500,G-ECD-R5-08,HITACHI,177.121.94.99,R5A,2025-06-19 21:09:37.158472,On,1
M18,ECXDX526,TP3000,G-ACD-M18-11,HITACHI,197.212.20.147,M18D,2025-05-22 21:09:37.158472,On,3
M10,ECXDX510,TP4500,G-ECD-M10-15,HITACHI,197.199.217.80,M10B,2025-05-28 21:09:37.158472,On,2
M10,HCDX903,CG6380,G-KCD-M10-20,HITACHI,177.119.95.152,M10C,2025-05-06 21:09:37.158472,Off,1
R5,ECDX124,CG6300,G-MCD-R5-18,HITACHI,197.163.215.178,R5B,2025-07-07 21:09:37.158472,Off,1
R4,MCD642,PROVISION_10,G-MCD-R4-14,AMAT,197.247.16.249,R4D,2025-06-20 21:09:37.158472,On,1
M10,VCD865,VERITYSEM_4,G-ECD-M10-19,AMAT,177.130.35.164,M10B,2025-05-19 21:09:37.158472,On,3
M10,ECDX367,CG6360,G-KCD-M10-13,HITACHI,197.82.116.70,M10D,2025-06-09 21:09:37.158472,On,1
M12,ECXDX560,CG6320,G-MDS-M12-11,HITACHI,197.31.138.92,M12A,2025-06-12 21:09:37.158472,On,2
M14,HCDX411,CG6340,G-ACD-M14-20,HITACHI,177.56.214.220,M14A,2025-05-28 21:09:37.158472,On,3
M13,ACD366,PROVISION_10,G-MCD-M13-01,AMAT,197.219.116.143,M13C,2025-04-29 21:09:37.158472,On,2
M11,ECXDX950,CG6300,G-MCD-M11-05,HITACHI,177.211.103.96,M11B,2025-04-12 21:09:37.158472,On,3
M11,ECXDX302,CG6300,G-ACD-M11-15,HITACHI,177.24.232.217,M11C,2025-05-27 21:09:37.158472,On,2
M10,VCD130,VERITYSEM_5,G-MDS-M10-14,AMAT,177.91.55.233,M10B,2025-06-15 21:09:37.158472,On,2
M12,ECDX521,CG6380,G-PCD-M12-16,HITACHI,177.23.72.99,M12A,2025-06-21 21:09:37.158472,On,3
M18,HCDX467,TP3500,G-MDS-M18-18,HITACHI,197.89.234.145,M18B,2025-05-05 21:09:37.158472,On,2
M12,PCD930,PROVISION_20,G-KCD-M12-02,AMAT,197.136.92.197,M12A,2025-04-25 21:09:37.158472,Off,1
M11,HCDX935,CG6380,G-ACD-M11-02,HITACHI,177.148.217.252,M11B,2025-05-20 21:09:37.158472,On,1
M12,PCD820,VERITYSEM_4,G-ACD-M12-12,AMAT,177.145.243.49,M12B,2025-05-06 21:09:37.158472,On,1
M17,ECXDX716,CG6300,G-MCD-M17-01,HITACHI,197.1.85.235,M17A,2025-04-21 21:09:37.158472,On,1
M15,PCD251,PROVISION_10,G-PCD-M15-05,AMAT,177.217.135.221,M15B,2025-05-23 21:09:37.158472,Off,2
R5,ECDX430,TP3000,G-MCD-R5-06,HITACHI,197.203.164.246,R5D,2025-05-07 21:09:37.158472,On,1
R5,ECDX414,CG6340,G-ACD-R5-10,HITACHI,177.46.187.1,R5C,2025-04-10 21:09:37.158472,Off,2
R3,HCDX326,TP3000,G-ACD-R3-19,HITACHI,177.240.128.37,R3A,2025-05-27 21:09:37.158472,On,1
M15,HCDX786,CG6320,G-ACD-M15-11,HITACHI,197.3.68.54,M15C,2025-06-07 21:09:37.158472,On,2
M14,ECDX548,CG6300,G-ACD-M14-14,HITACHI,177.227.106.127,M14A,2025-05-21 21:09:37.158472,On,2
M11,ECDX175,CG6340,G-ECD-M11-10,HITACHI,177.82.67.244,M11D,2025-06-25 21:09:37.158472,On,1
M16,ECXDX446,TP4500,G-PCD-M16-20,HITACHI,197.181.8.111,M16B,2025-04-16 21:09:37.158472,On,2
M12,ECXDX294,TP3000,G-MDS-M12-18,HITACHI,197.170.73.77,M12A,2025-06-08 21:09:37.158472,On,2
R3,ECDX103,CG6300,G-MDS-R3-03,HITACHI,197.211.170.161,R3D,2025-04-23 21:09:37.158472,On,1
M10,ECXDX584,CG6380,G-ECD-M10-10,HITACHI,197.121.126.230,M10B,2025-04-15 21:09:37.158472,On,3
M18,ECDX478,TP3000,G-MCD-M18-15,HITACHI,177.68.113.120,M18D,2025-06-05 21:09:37.158472,On,2
R3,ECXDX784,CG6320,G-KCD-R3-18,HITACHI,197.249.194.151,R3A,2025-06-09 21:09:37.158472,On,2
M18,VCD406,PROVISION_20,G-ECD-M18-13,AMAT,177.129.147.231,M18D,2025-05-03 21:09:37.158472,On,3
R3,ECXDX271,TP4000,G-MCD-R3-07,HITACHI,177.11.109.21,R3B,2025-04-12 21:09:37.158472,On,3
M12,PCD497,PROVISION_10,G-PCD-M12-13,AMAT,197.220.71.134,M12C,2025-05-11 21:09:37.158472,Off,1
R5,ECXDX251,TP3500,G-PCD-R5-19,HITACHI,177.237.28.145,R5D,2025-06-26 21:09:37.158472,On,3
M15,VCD685,VERITYSEM_5,G-PCD-M15-16,AMAT,177.45.71.104,M15D,2025-06-20 21:09:37.158472,On,3
R5,ECDX807,TP3500,G-MCD-R5-02,HITACHI,197.236.69.230,R5D,2025-05-22 21:09:37.158472,On,2
M14,MCD237,PROVISION_10,G-KCD-M14-15,AMAT,197.69.187.107,M14C,2025-04-22 21:09:37.158472,On,1
M17,ACD940,VERITYSEM_5,G-ECD-M17-17,AMAT,177.17.80.182,M17B,2025-05-05 21:09:37.158472,On,3
R3,ECXDX957,CG6360,G-ECD-R3-08,HITACHI,177.117.13.236,R3A,2025-05-23 21:09:37.158472,On,2
M15,PCD347,PROVISION_10,G-KCD-M15-16,AMAT,197.46.246.223,M15D,2025-05-09 21:09:37.158472,On,2
M15,ACD128,PROVISION_10,G-MDS-M15-02,AMAT,177.219.147.200,M15B,2025-06-11 21:09:37.158472,On,3
M13,PCD985,VERITYSEM_5,G-ACD-M13-01,AMAT,197.234.34.166,M13B,2025-06-16 21:09:37.158472,On,1
M13,VCD485,VERITYSEM_4,G-KCD-M13-15,AMAT,197.56.120.78,M13C,2025-04-13 21:09:37.158472,On,3
M16,HCDX963,TP4500,G-KCD-M16-18,HITACHI,197.77.176.28,M16A,2025-05-08 21:09:37.158472,On,2
R4,ACD292,VERITYSEM_4,G-MCD-R4-17,AMAT,177.231.15.207,R4C,2025-04-23 21:09:37.158472,On,2
R4,ECDX365,TP4000,G-MDS-R4-13,HITACHI,197.189.10.150,R4B,2025-04-09 21:09:37.158472,Off,1
M15,ACD965,VERITYSEM_4,G-MCD-M15-18,AMAT,177.76.25.121,M15B,2025-06-22 21:09:37.158472,On,3
M18,MCD463,PROVISION_10,G-MCD-M18-10,AMAT,197.202.228.85,M18B,2025-05-22 21:09:37.158472,On,2
M17,PCD583,PROVISION_10,G-MCD-M17-17,AMAT,177.223.175.98,M17A,2025-05-02 21:09:37.158472,On,1
M12,ECDX683,TP3000,G-MDS-M12-05,HITACHI,197.221.184.47,M12B,2025-06-28 21:09:37.158472,On,3
M12,ECDX380,CG6300,G-MCD-M12-06,HITACHI,177.126.202.196,M12C,2025-06-27 21:09:37.158472,On,2
R4,VCD492,VERITYSEM_5,G-ECD-R4-02,AMAT,177.188.96.244,R4D,2025-07-07 21:09:37.158472,On,3
M13,ECXDX810,CG6360,G-KCD-M13-10,HITACHI,177.27.99.129,M13A,2025-04-24 21:09:37.158472,On,1
M10,ACD544,VERITYSEM_5,G-ACD-M10-05,AMAT,197.231.126.92,M10C,2025-06-14 21:09:37.158472,On,2
M10,ECXDX851,CG6340,G-ECD-M10-19,HITACHI,177.32.94.183,M10B,2025-04-16 21:09:37.158472,On,2
R4,HCDX210,CG6300,G-ACD-R4-01,HITACHI,177.177.30.107,R4C,2025-05-13 21:09:37.158472,On,3
M14,HCDX802,CG6360,G-ACD-M14-01,HITACHI,197.108.170.26,M14D,2025-04-15 21:09:37.158472,On,3
R3,PCD389,PROVISION_10,G-ECD-R3-04,AMAT,197.51.156.52,R3B,2025-06-05 21:09:37.158472,On,1
M15,PCD661,PROVISION_20,G-MDS-M15-07,AMAT,197.85.61.1,M15D,2025-07-07 21:09:37.158472,On,1
R3,HCDX176,CG6320,G-ACD-R3-04,HITACHI,197.165.60.117,R3D,2025-06-01 21:09:37.158472,On,1
